Time series;Closing price;MA-15;MACD-26;RSI-14;WR-14;D-3;K-14;Trend;Trading signals
1;376.28;0.7911392405063049;0.903318896419015;0.0;0.0;0.0;0.6716633948042207;no;0.43491124260354325
2;376.72;1.0;0.7391081583989274;1.0;0.33069306930692116;0.7286080980641838;0.8662076719220998;no;0.33465346534653906
3;373.34;0.0;0.0;0.0;1.0;1.0;0.0;no;0.0
4;378.39;0.0;0.0;0.7772437120860958;0.333333333333341;0.7542349179376969;0.0;no;0.33333333333332965
5;379.25;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
6;376.67;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
7;365.2;1.0;0.0;0.0;1.0;0.012409279175059951;0.0;no;0.0
8;374.95;0.018796992481817588;0.0;0.0;1.0;0.0;0.0;no;0.0
9;375.07;0.817079269817383;0.7151676630646063;0.8032842411600819;0.14681892332789662;0.0;0.7350906500092856;no;0.4265905383360517
10;376.87;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
11;364.61;1.0;1.0;1.0;0.0;1.0;1.0;no;0.5
12;350.49;1.0;1.0;0.8712777859438905;0.4383678251398143;1.0;1.0;no;0.5
13;348.13;1.0;1.0;0.0;1.0;1.0;0.8416160276203877;no;0.0
14;348.98;1.0;1.0;0.0;1.0;0.0;0.0;no;0.0
15;354.48;1.0;1.0;1.0;0.0;0.0;0.7573351074832062;down;0.5
16;351.45;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
17;350.17;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
18;350.17;1.0;1.0;1.0;0.0;1.0;1.0;down;0.5
19;330.02;1.0;1.0;1.0;1.0;1.0;1.0;down;0.5
20;321.1;1.0;1.0;0.32143262695294694;1.0;1.0;0.8529037623045949;down;0.5
21;312.17;1.0;1.0;0.0;1.0;0.0;0.0;down;0.0
22;318.0;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
23;329.99;1.0;0.262733851276627;0.48002857904314006;0.4507508026982012;0.0;0.0;down;0.46404341926730175
24;323.15;1.0;0.0;0.0;1.0;0.0;0.0;down;0.0
